Longitude,Latitude
-121.92304315999765,36.52439535957646
-121.89555544677245,36.52439535957646
-121.92762444553517,36.52071368791981
-121.8863928756974,36.52071368791981
-121.92762444553517,36.51703184106669
-121.8863928756974,36.51703184106669
-121.93220573107273,36.51334981902398
-121.87264901908478,36.51334981902398
-121.93220573107273,36.509667621798535
-121.87264901908478,36.509667621798535
-121.93220573107273,36.50598524939724
-121.86806773354725,36.50598524939724
-121.93220573107273,36.50230270182697
-121.86806773354725,36.50230270182697
-121.93678701661024,36.498619979094606
-121.86806773354725,36.498619979094606
-121.93678701661024,36.49493708120702
-121.86806773354725,36.49493708120702
-121.93220573107273,36.491254008171126
-121.86806773354725,36.491254008171126
-121.93220573107273,36.48757075999377
-121.86806773354725,36.48757075999377
-121.93220573107273,36.483887336681896
-121.85890516247217,36.483887336681896
-121.93220573107273,36.48020373824236
-121.86806773354725,36.48020373824236
-121.93220573107273,36.47651996468209
-121.85890516247217,36.47651996468209
-121.93220573107273,36.47283601600799
-121.85432387693464,36.47283601600799
-121.93220573107273,36.46915189222693
-121.82225487817192,36.46915189222693
-121.93220573107273,36.46546759334585
-121.81309230709685,36.46546759334585
-121.92762444553517,36.46178311937166
-121.8085110215593,36.46178311937166
-121.93220573107273,36.45809847031126
-121.8085110215593,36.45809847031126
-121.93220573107273,36.4544136461716
-121.80392973602177,36.4544136461716
-121.93678701661024,36.450728646959575
-121.79476716494672,36.450728646959575
-121.95053087322285,36.44704347268211
-121.89555544677245,36.44704347268211
-121.89097416123492,36.44704347268211
-121.8863928756974,36.44704347268211
-121.88181159015984,36.44704347268211
-121.79476716494672,36.44704347268211
-121.95053087322285,36.44335812334616
-121.8863928756974,36.44335812334616
-121.88181159015984,36.44335812334616
-121.79018587940917,36.44335812334616
-121.95053087322285,36.43967259895863
-121.89555544677245,36.43967259895863
-121.88181159015984,36.43967259895863
-121.79018587940917,36.43967259895863
-121.95053087322285,36.43598689952646
-121.78560459387165,36.43598689952646
-121.95053087322285,36.43230102505662
-121.78560459387165,36.43230102505662
-121.95053087322285,36.428614975556
-121.7810233083341,36.428614975556
-121.95053087322285,36.42492875103157
-121.89555544677245,36.42492875103157
-121.87264901908478,36.42492875103157
-121.7810233083341,36.42492875103157
-121.95053087322285,36.42124235149029
-121.89555544677245,36.42124235149029
-121.87264901908478,36.42124235149029
-121.77644202279657,36.42124235149029
-121.95053087322285,36.41755577693909
-121.89555544677245,36.41755577693909
-121.87264901908478,36.41755577693909
-121.77644202279657,36.41755577693909
-121.9413683021478,36.41386902738495
-121.90013673230997,36.41386902738495
-121.8634864480097,36.41386902738495
-121.77644202279657,36.41386902738495
-121.93220573107273,36.4101821028348
-121.90471801784751,36.4101821028348
-121.8634864480097,36.4101821028348
-121.77644202279657,36.4101821028348
-121.93220573107273,36.40649500329562
-121.90929930338504,36.40649500329562
-121.8634864480097,36.40649500329562
-121.77644202279657,36.40649500329562
-121.93220573107273,36.40280772877437
-121.90929930338504,36.40280772877437
-121.8634864480097,36.40280772877437
-121.77644202279657,36.40280772877437
-121.92304315999765,36.399120279278
-121.91846187446012,36.399120279278
-121.8634864480097,36.399120279278
-121.77644202279657,36.399120279278
-121.8634864480097,36.39543265481352
-121.77644202279657,36.39543265481352
-121.8634864480097,36.39174485538786
-121.7810233083341,36.39174485538786
-121.8634864480097,36.38805688100802
-121.7810233083341,36.38805688100802
-121.8634864480097,36.38436873168099
-121.78560459387165,36.38436873168099
-121.8634864480097,36.380680407413735
-121.79018587940917,36.380680407413735
-121.85890516247217,36.37699190821325
-121.79476716494672,36.37699190821325
-121.85890516247217,36.37330323408653
-121.79476716494672,36.37330323408653
-121.85890516247217,36.36961438504056
-121.79934845048425,36.36961438504056
-121.85890516247217,36.36592536108233
-121.79934845048425,36.36592536108233
-121.84974259139712,36.362236162218856
-121.81309230709685,36.362236162218856
-121.83141744924697,36.35854678845713
-121.82683616370944,36.35854678845713
-121.92304315999765,36.52439535957646
